text	labels
complaining	neg
failing to support	neg
desperately needs	neg
many years of decay	neg
no quick fix	neg
is happy	neg
long and painful	neg
nobody is happy	neg
a very complicated process	neg
a decade of dramatic economic decline	neg
suffering from	neg
would surely be higher still	neg
had forbidden	neg
suffering from some intoxication	neg
far from perfect	neg
soured relations between	neg
fell out	neg
mounting rivalry	neg
a hostile nation	neg
have each accused the other	neg
bowed to	neg
totally dependent	neg
lose control	neg
warned	neg
to heel	neg
bowed to pressure	neg
to its knees	neg
military adventurism	neg
would boost	neg
threaten	neg
most heavily armed place in the world	neg
dangerous flashpoint	neg
wanted to avoid	neg
a superficial exercise	neg
accusing	neg
merely speaks	neg
deep divergences	neg
negatively	neg
biased	neg
claims	neg
was biased against	neg
complaints of	neg
suspicions	neg
squeezing	neg
ruinous mistake	neg
playing with fire	neg
subverts	neg
trying to provoke protests	neg
his mdc lot	neg
will not	neg
most dangerous	neg
expressed concern	neg
shoot the man out of office	neg
that extreme	neg
keen to fight	neg
are agitating	neg
allegedly threatening	neg
will remove you violently	neg
are reluctant	neg
villains	neg
do n't want	neg
challenged	neg
flirting with	neg
at it again	neg
charges	neg
opposed	neg
alleged	neg
wants to speak the language of violence	neg
shoot president mugabe out of office	neg
fears	neg
has refused to bow	neg
parliamentarian	neg
still - tense relationship	neg
our renegade province	neg
unusual	neg
so worried	neg
disapproved	neg
so - called stop - over tactic	neg
will not resort	neg
private diplomacy	neg
protests	neg
opposes	neg
gulf between	neg
do not possess the necessary expertise	neg
is an act of objectionable brutality	neg
just to gain popularity	neg
may feel uneasy	neg
this is a question of	neg
certain excesses	neg
should not be loaded with all the world's sins	neg
does not function optimally	neg
is colored by leftist ideology	neg
hype	neg
even worse	neg
fostering trade anarchy	neg
this is no blind violence but rather targeted violence	neg
there is no alternative to it but conflict , isolation , nationalism , and ultimately war	neg
cold monster	neg
wants	neg
immense gulf between	neg
slow	neg
are needed	neg
the brutality with which this closure was implemented was unheard of	neg
thought	neg
are worried	neg
was annoyed	neg
lost the game	neg
but there is little i can do	neg
would totally liberalize	neg
only got worse	neg
ideological fight against capitalism	neg
we are living in a politically highly sophisticated society	neg
summits , '	neg
but the alternatives are worse	neg
rejects	neg
think	neg
not	neg
however	neg
not what it is all about	neg
is accused	neg
illegible	neg
crises	neg
fierce competition	neg
no right	neg
declining to comply	neg
reject	neg
had relentlessly demonstrated	neg
abandonment	neg
declining	neg
discrediting	neg
in fact unprecedented	neg
more serious	neg
protests leveled by	neg
weak	neg
fierce opposition	neg
were opposing	neg
got out of hand	neg
concocted	neg
without effective	neg
fierce demonstrations	neg
